date	likes	retweets	replies
Fri, 23 Oct 2020 02:45:00 GMT	95432	17848	9528
Fri, 23 Oct 2020 02:53:00 GMT	49537	8729	4282
Fri, 23 Oct 2020 02:56:00 GMT	198842	22471	9531
Fri, 23 Oct 2020 03:00:00 GMT	43633	6179	11716
Fri, 23 Oct 2020 03:25:24 GMT	147395	16446	12025
Fri, 23 Oct 2020 14:17:00 GMT	16560	3179	1984
Fri, 23 Oct 2020 15:01:00 GMT	11354	2243	1654
Fri, 23 Oct 2020 15:45:41 GMT	122857	14567	6153
Fri, 23 Oct 2020 16:20:00 GMT	30146	6025	5373
Fri, 23 Oct 2020 17:07:00 GMT	68770	16125	4381
Fri, 23 Oct 2020 17:55:00 GMT	86081	17636	14135
Fri, 23 Oct 2020 18:53:07 GMT	17921	3608	4032
Fri, 23 Oct 2020 19:32:00 GMT	206132	78403	11590
Fri, 23 Oct 2020 20:08:00 GMT	62818	9703	4994
Fri, 23 Oct 2020 20:40:00 GMT	138934	22724	10355
Fri, 23 Oct 2020 21:47:00 GMT	18170	3461	2155
Fri, 23 Oct 2020 23:22:11 GMT	101859	16688	5576
Fri, 23 Oct 2020 23:35:55 GMT	127542	13756	4264
Fri, 23 Oct 2020 23:59:00 GMT	61839	9814	4022
Sat, 24 Oct 2020 00:09:44 GMT	11308	1851	1984
Sat, 24 Oct 2020 01:21:00 GMT	20813	4130	3695
Sat, 24 Oct 2020 13:07:00 GMT	68614	10446	2758
Sat, 24 Oct 2020 13:40:00 GMT	240349	22422	12109
Sat, 24 Oct 2020 15:11:44 GMT	16232	2724	2756
Sat, 24 Oct 2020 16:10:09 GMT	27280	4612	1714
Sat, 24 Oct 2020 16:36:00 GMT	83266	16906	4547
Sat, 24 Oct 2020 17:33:00 GMT	19387	3743	2049
Sat, 24 Oct 2020 17:46:00 GMT	11157	2297	1008
Sat, 24 Oct 2020 18:00:01 GMT	120400	22953	2654
Sat, 24 Oct 2020 18:35:00 GMT	15013	2417	1379
Sat, 24 Oct 2020 18:52:00 GMT	9780	1938	1093
Sat, 24 Oct 2020 19:15:00 GMT	50268	8685	4700
Sat, 24 Oct 2020 19:23:25 GMT	77362	12443	5979
Sat, 24 Oct 2020 20:38:54 GMT	16063	2692	2415
Sat, 24 Oct 2020 21:25:50 GMT	50622	5817	4213
Sat, 24 Oct 2020 22:00:00 GMT	43476	7906	6799
Sat, 24 Oct 2020 22:30:00 GMT	178818	20168	7846
Sat, 24 Oct 2020 22:59:00 GMT	12802	2139	2834
Sat, 24 Oct 2020 23:53:00 GMT	39374	6752	3098
Sun, 25 Oct 2020 00:07:00 GMT	24718	3612	2923
Sun, 25 Oct 2020 00:47:00 GMT	114547	17892	10231
Sun, 25 Oct 2020 13:02:00 GMT	81319	12465	3677
Sun, 25 Oct 2020 13:52:00 GMT	260832	25998	9560
Sun, 25 Oct 2020 14:31:00 GMT	30513	7852	2476
Sun, 25 Oct 2020 15:22:27 GMT	70796	9597	3575
Sun, 25 Oct 2020 16:00:00 GMT	14743	3417	1594
Sun, 25 Oct 2020 16:28:00 GMT	76715	13772	4970
Sun, 25 Oct 2020 17:29:17 GMT	8758	1766	1575
Sun, 25 Oct 2020 17:30:00 GMT	37844	10668	2751
Sun, 25 Oct 2020 18:07:00 GMT	227120	21571	8055
Sun, 25 Oct 2020 19:39:00 GMT	12537	2068	2076
Sun, 25 Oct 2020 20:12:00 GMT	80770	13704	4993
Sun, 25 Oct 2020 20:35:00 GMT	43716	13191	3588
Sun, 25 Oct 2020 21:30:00 GMT	84456	38123	4989
Sun, 25 Oct 2020 22:01:00 GMT	32248	5159	2271
Sun, 25 Oct 2020 23:01:00 GMT	62675	15051	4072
Sun, 25 Oct 2020 23:30:00 GMT	37942	8004	5065
Mon, 26 Oct 2020 00:02:39 GMT	20201	4432	4751
Mon, 26 Oct 2020 13:17:02 GMT	89124	11684	4205
Mon, 26 Oct 2020 14:30:01 GMT	12161	2804	1597
Mon, 26 Oct 2020 14:40:00 GMT	11321	2578	1102
Mon, 26 Oct 2020 14:50:00 GMT	14096	2612	1427
Mon, 26 Oct 2020 15:00:02 GMT	311315	32993	13909
Mon, 26 Oct 2020 15:05:45 GMT	121620	12781	2992
Mon, 26 Oct 2020 16:00:02 GMT	40291	10872	4616
Mon, 26 Oct 2020 17:15:00 GMT	38726	8328	3879
Mon, 26 Oct 2020 17:31:36 GMT	84113	9643	3134
Mon, 26 Oct 2020 18:00:00 GMT	209434	31147	10803
Mon, 26 Oct 2020 18:53:33 GMT	21445	3971	1343
Mon, 26 Oct 2020 19:40:00 GMT	13369	2551	2798
Mon, 26 Oct 2020 20:21:00 GMT	164115	20370	6566
Mon, 26 Oct 2020 21:16:00 GMT	173755	16605	6761
Mon, 26 Oct 2020 22:10:00 GMT	35494	6702	2872
Mon, 26 Oct 2020 22:40:00 GMT	27210	4353	2844
Mon, 26 Oct 2020 22:50:22 GMT	98741	19018	6222
Tue, 27 Oct 2020 03:43:00 GMT	71085	13084	5826
Tue, 27 Oct 2020 03:53:00 GMT	401015	53125	17700
Tue, 27 Oct 2020 13:38:00 GMT	233050	27377	6156
Tue, 27 Oct 2020 14:25:00 GMT	42183	6188	3825
Tue, 27 Oct 2020 15:32:00 GMT	38952	7877	3511
Tue, 27 Oct 2020 16:00:52 GMT	17936	3224	2710
Tue, 27 Oct 2020 17:16:00 GMT	157297	31964	7173
Tue, 27 Oct 2020 17:43:54 GMT	22284	3917	3934
Tue, 27 Oct 2020 18:58:28 GMT	32526	5109	2393
Tue, 27 Oct 2020 19:20:00 GMT	171613	17572	7370
Tue, 27 Oct 2020 19:40:00 GMT	122091	16666	7646
Tue, 27 Oct 2020 20:35:23 GMT	17489	3142	2826
Tue, 27 Oct 2020 22:25:00 GMT	33806	6858	11034
Tue, 27 Oct 2020 22:55:00 GMT	22778	3792	2067
Tue, 27 Oct 2020 23:19:08 GMT	3416	735	661
Tue, 27 Oct 2020 23:30:00 GMT	51161	8522	3435
Wed, 28 Oct 2020 00:00:00 GMT	40594	6538	5831
Wed, 28 Oct 2020 00:20:28 GMT	62759	12611	4495
Wed, 28 Oct 2020 00:40:00 GMT	15809	3178	7572
Wed, 28 Oct 2020 01:01:00 GMT	148780	22327	9714
Wed, 28 Oct 2020 14:22:38 GMT	52804	8259	6655
Wed, 28 Oct 2020 15:03:50 GMT	59340	7370	3329
Wed, 28 Oct 2020 15:25:34 GMT	2959	587	618
Wed, 28 Oct 2020 15:30:00 GMT	91457	12100	4809
Wed, 28 Oct 2020 16:37:23 GMT	16423	3216	2808
Wed, 28 Oct 2020 17:10:00 GMT	240083	30236	7635
Wed, 28 Oct 2020 17:40:00 GMT	16855	2907	2114
Wed, 28 Oct 2020 18:00:02 GMT	128208	28704	6335
Wed, 28 Oct 2020 18:40:00 GMT	17946	2108	931
Wed, 28 Oct 2020 19:20:00 GMT	45548	7521	2340
Wed, 28 Oct 2020 19:40:00 GMT	257231	17135	9153
Wed, 28 Oct 2020 20:47:00 GMT	18699	4049	1681
Wed, 28 Oct 2020 21:26:00 GMT	71475	15469	7383
Wed, 28 Oct 2020 22:15:00 GMT	287386	37722	8767
Wed, 28 Oct 2020 22:54:42 GMT	40955	5718	4417
