date	likes	retweets	replies
Fri, 13 Nov 2020 21:07:38 GMT	279661	37486	35249
Fri, 13 Nov 2020 21:25:29 GMT	73841	18986	14282
Fri, 13 Nov 2020 21:47:09 GMT	49405	10472	4462
Fri, 13 Nov 2020 21:53:01 GMT	55653	10228	5169
Fri, 13 Nov 2020 22:01:02 GMT	115693	22494	7597
Fri, 13 Nov 2020 22:01:11 GMT	111001	22677	11863
Fri, 13 Nov 2020 22:01:17 GMT	67249	14385	6678
Fri, 13 Nov 2020 22:06:48 GMT	85719	30327	8722
Fri, 13 Nov 2020 22:21:17 GMT	147633	47439	15611
Fri, 13 Nov 2020 23:19:03 GMT	116252	38129	13635
Sat, 14 Nov 2020 00:09:06 GMT	108437	28722	8658
Sat, 14 Nov 2020 00:12:54 GMT	92688	24090	7096
Sat, 14 Nov 2020 00:28:15 GMT	414356	105728	85358
Sat, 14 Nov 2020 00:50:23 GMT	244542	71778	40316
Sat, 14 Nov 2020 01:14:19 GMT	40796	14647	1975
Sat, 14 Nov 2020 01:56:17 GMT	68161	21628	5017
Sat, 14 Nov 2020 02:22:18 GMT	111794	41563	12628
Sat, 14 Nov 2020 02:23:29 GMT	248765	55434	29970
Sat, 14 Nov 2020 02:29:32 GMT	163917	42426	13808
Sat, 14 Nov 2020 05:21:42 GMT	134885	46026	11508
Sat, 14 Nov 2020 05:22:31 GMT	189153	44041	15928
Sat, 14 Nov 2020 06:08:07 GMT	177935	36320	11609
Sat, 14 Nov 2020 07:19:56 GMT	100722	49564	6919
Sat, 14 Nov 2020 14:29:25 GMT	251580	71773	26578
Sat, 14 Nov 2020 14:29:26 GMT	199125	45423	19005
Sat, 14 Nov 2020 15:23:07 GMT	314735	54045	27254
Sat, 14 Nov 2020 15:24:50 GMT	222915	32662	8602
Sat, 14 Nov 2020 15:44:19 GMT	213819	46687	33108
Sat, 14 Nov 2020 15:44:20 GMT	128959	25874	15211
Sat, 14 Nov 2020 17:47:59 GMT	122868	33026	10999
Sat, 14 Nov 2020 18:00:01 GMT	31354	6807	2153
Sat, 14 Nov 2020 18:09:47 GMT	136448	44805	8724
Sat, 14 Nov 2020 18:54:23 GMT	50139	12344	4707
Sat, 14 Nov 2020 19:06:28 GMT	178507	45576	10239
Sat, 14 Nov 2020 19:20:09 GMT	82577	27780	7979
Sat, 14 Nov 2020 20:00:01 GMT	33433	7305	1746
Sat, 14 Nov 2020 20:01:35 GMT	73666	18885	5759
Sat, 14 Nov 2020 20:07:56 GMT	277241	76497	31648
Sat, 14 Nov 2020 20:17:01 GMT	317245	74878	33275
Sat, 14 Nov 2020 20:24:27 GMT	256065	66851	32247
Sat, 14 Nov 2020 20:51:21 GMT	299949	79390	29480
Sat, 14 Nov 2020 20:55:10 GMT	77230	20474	4449
Sat, 14 Nov 2020 20:57:08 GMT	362029	70418	50047
Sat, 14 Nov 2020 20:57:23 GMT	76381	23875	3851
Sat, 14 Nov 2020 21:00:00 GMT	36015	7390	3361
Sat, 14 Nov 2020 21:01:56 GMT	117226	21709	7409
Sat, 14 Nov 2020 21:10:23 GMT	152295	51740	11657
Sat, 14 Nov 2020 21:24:15 GMT	261207	83843	39782
Sat, 14 Nov 2020 21:52:27 GMT	41561	25910	9003
Sat, 14 Nov 2020 21:58:36 GMT	220587	89087	16002
Sat, 14 Nov 2020 22:00:00 GMT	37157	8788	2452
Sat, 14 Nov 2020 22:36:14 GMT	43395	23479	6112
Sat, 14 Nov 2020 22:44:37 GMT	26611	13741	3432
Sat, 14 Nov 2020 23:07:53 GMT	333171	82616	65428
Sun, 15 Nov 2020 00:10:05 GMT	150186	28255	9537
Sun, 15 Nov 2020 00:33:24 GMT	30579	9027	1951
Sun, 15 Nov 2020 01:10:41 GMT	65052	29522	6781
Sun, 15 Nov 2020 01:28:44 GMT	36879	9516	1923
Sun, 15 Nov 2020 02:10:09 GMT	59337	15675	3021
Sun, 15 Nov 2020 02:25:00 GMT	46020	10441	3748
Sun, 15 Nov 2020 02:30:00 GMT	61000	15597	4140
Sun, 15 Nov 2020 02:42:29 GMT	31612	9457	2631
Sun, 15 Nov 2020 02:45:00 GMT	43107	12875	2231
Sun, 15 Nov 2020 02:50:00 GMT	30188	7175	1360
Sun, 15 Nov 2020 03:00:00 GMT	30312	7762	1855
Sun, 15 Nov 2020 03:02:43 GMT	84959	28517	4525
Sun, 15 Nov 2020 03:07:00 GMT	46012	16010	3111
Sun, 15 Nov 2020 03:11:52 GMT	329219	77558	49017
Sun, 15 Nov 2020 03:47:58 GMT	43351	20656	3263
Sun, 15 Nov 2020 04:17:21 GMT	339895	85596	37793
Sun, 15 Nov 2020 04:33:52 GMT	92996	24128	6818
Sun, 15 Nov 2020 04:43:19 GMT	261086	63343	19875
Sun, 15 Nov 2020 04:49:07 GMT	109344	38889	19444
Sun, 15 Nov 2020 04:51:46 GMT	149986	36786	9192
Sun, 15 Nov 2020 04:56:53 GMT	120297	28104	6668
Sun, 15 Nov 2020 05:00:40 GMT	129186	29744	13633
Sun, 15 Nov 2020 05:05:21 GMT	152603	29936	19297
Sun, 15 Nov 2020 05:07:22 GMT	151259	54555	28070
Sun, 15 Nov 2020 12:25:14 GMT	101300	24698	9310
Sun, 15 Nov 2020 12:32:27 GMT	99675	25641	8248
Sun, 15 Nov 2020 12:47:54 GMT	153123	55013	50746
Sun, 15 Nov 2020 12:56:26 GMT	267711	59273	28232
Sun, 15 Nov 2020 13:04:01 GMT	195963	39871	21708
Sun, 15 Nov 2020 13:49:20 GMT	54807	19182	4483
Sun, 15 Nov 2020 14:16:11 GMT	604016	117623	82986
Sun, 15 Nov 2020 14:19:51 GMT	571382	156420	125035
Sun, 15 Nov 2020 14:55:44 GMT	172846	37684	28622
Sun, 15 Nov 2020 14:59:55 GMT	130453	24373	25663
Sun, 15 Nov 2020 16:41:28 GMT	32152	11972	1318
Sun, 15 Nov 2020 17:54:47 GMT	109106	28174	16556
Sun, 15 Nov 2020 18:20:43 GMT	105632	27298	7972
Sun, 15 Nov 2020 18:21:05 GMT	61704	13406	2659
Sun, 15 Nov 2020 18:21:49 GMT	58392	12712	3242
Sun, 15 Nov 2020 19:20:07 GMT	355367	78592	61698
Sun, 15 Nov 2020 19:31:01 GMT	104397	18281	7098
Sun, 15 Nov 2020 21:36:02 GMT	106652	34876	12350
Sun, 15 Nov 2020 21:51:30 GMT	270402	69863	24567
Sun, 15 Nov 2020 21:54:47 GMT	260264	43384	18011
Sun, 15 Nov 2020 21:55:33 GMT	212191	41476	18877
Sun, 15 Nov 2020 22:21:55 GMT	343126	81829	54794
Mon, 16 Nov 2020 00:47:09 GMT	183131	34798	22125
Mon, 16 Nov 2020 01:46:37 GMT	352507	85716	59545
Mon, 16 Nov 2020 01:46:38 GMT	188965	37746	23010
Mon, 16 Nov 2020 01:46:38 GMT	178079	33571	10704
Mon, 16 Nov 2020 02:44:28 GMT	92560	22956	9714
Mon, 16 Nov 2020 04:00:01 GMT	87449	25591	6457
Mon, 16 Nov 2020 04:11:51 GMT	27202	5666	1040
Mon, 16 Nov 2020 04:17:13 GMT	21603	5890	795
Mon, 16 Nov 2020 04:55:48 GMT	717821	325602	264675
Mon, 16 Nov 2020 13:09:45 GMT	82514	19523	4792
Mon, 16 Nov 2020 13:13:41 GMT	105660	26388	4525
Mon, 16 Nov 2020 13:14:59 GMT	100444	26927	5363
Mon, 16 Nov 2020 13:15:50 GMT	143937	35382	12080
Mon, 16 Nov 2020 13:24:13 GMT	129670	18621	4447
Mon, 16 Nov 2020 13:26:19 GMT	163375	44550	10502
Mon, 16 Nov 2020 13:33:18 GMT	122663	22785	9820
Mon, 16 Nov 2020 13:51:44 GMT	681005	183601	170480
Mon, 16 Nov 2020 14:04:50 GMT	254242	56545	22710
Mon, 16 Nov 2020 14:06:23 GMT	281675	50566	25220
Mon, 16 Nov 2020 14:19:29 GMT	318161	68522	77451
Mon, 16 Nov 2020 14:49:06 GMT	218596	34810	20234
Mon, 16 Nov 2020 15:17:31 GMT	56195	23688	5824
Mon, 16 Nov 2020 15:29:34 GMT	122056	31158	11731
Mon, 16 Nov 2020 15:37:04 GMT	343926	73160	49786
Mon, 16 Nov 2020 15:59:33 GMT	342497	50976	37029
Mon, 16 Nov 2020 16:02:58 GMT	273023	42745	25623
Mon, 16 Nov 2020 16:11:09 GMT	306482	57535	63353
Mon, 16 Nov 2020 16:29:54 GMT	206078	63575	18017
Mon, 16 Nov 2020 16:45:02 GMT	43568	12111	1244
Mon, 16 Nov 2020 16:59:52 GMT	301188	74072	48757
Mon, 16 Nov 2020 21:23:05 GMT	212182	59320	41040
Mon, 16 Nov 2020 21:37:01 GMT	78833	27213	10678
Mon, 16 Nov 2020 22:18:45 GMT	73718	21727	3117
Mon, 16 Nov 2020 23:43:29 GMT	281634	80897	46021
Mon, 16 Nov 2020 23:48:09 GMT	134289	39347	14581
Tue, 17 Nov 2020 04:20:19 GMT	220312	46891	34610
Tue, 17 Nov 2020 20:47:34 GMT	478048	85466	38919
Tue, 17 Nov 2020 21:39:24 GMT	215529	56687	33475
Tue, 17 Nov 2020 22:37:58 GMT	124274	33722	10708
Tue, 17 Nov 2020 22:39:41 GMT	111466	24400	8704
Tue, 17 Nov 2020 22:40:26 GMT	174323	47655	32965
Wed, 18 Nov 2020 00:07:44 GMT	175732	42607	31392
Wed, 18 Nov 2020 00:07:44 GMT	228786	59511	35085
Wed, 18 Nov 2020 00:14:00 GMT	141770	29139	12186
Wed, 18 Nov 2020 00:25:56 GMT	228878	49467	32461
Wed, 18 Nov 2020 00:54:35 GMT	107289	29985	9002
Wed, 18 Nov 2020 01:05:08 GMT	195858	44035	21694
Wed, 18 Nov 2020 01:16:40 GMT	119973	28767	21982
Wed, 18 Nov 2020 02:11:08 GMT	511091	97476	72407
Wed, 18 Nov 2020 02:18:42 GMT	146267	34675	21657
Wed, 18 Nov 2020 02:22:04 GMT	174708	40950	16777
Wed, 18 Nov 2020 02:24:59 GMT	191794	48637	30933
Wed, 18 Nov 2020 02:35:24 GMT	66786	32907	4303
Wed, 18 Nov 2020 03:20:02 GMT	140827	32966	27956
Wed, 18 Nov 2020 03:33:07 GMT	56826	16076	3546
Wed, 18 Nov 2020 13:15:48 GMT	160319	32676	14625
Wed, 18 Nov 2020 13:26:55 GMT	35642	10929	2032
Wed, 18 Nov 2020 13:31:43 GMT	246378	64977	42613
Wed, 18 Nov 2020 13:55:05 GMT	138887	41306	16349
Wed, 18 Nov 2020 14:11:52 GMT	141594	36311	19634
Wed, 18 Nov 2020 14:16:28 GMT	121790	32064	18226
Wed, 18 Nov 2020 14:31:51 GMT	249317	58270	27237
Wed, 18 Nov 2020 14:54:23 GMT	374299	73019	57698
Wed, 18 Nov 2020 15:38:20 GMT	195191	48448	15732
Wed, 18 Nov 2020 15:41:09 GMT	359339	80143	49094
Wed, 18 Nov 2020 15:53:24 GMT	49430	25997	6913
Wed, 18 Nov 2020 16:04:29 GMT	313906	72115	39283
Wed, 18 Nov 2020 16:18:12 GMT	72694	32626	6947
Wed, 18 Nov 2020 16:23:38 GMT	182199	58789	23690
Wed, 18 Nov 2020 17:32:52 GMT	56543	19970	5515
Wed, 18 Nov 2020 17:43:52 GMT	143334	43523	16565
Wed, 18 Nov 2020 19:54:03 GMT	148785	32285	25365
Wed, 18 Nov 2020 21:05:30 GMT	80834	19608	47214
Wed, 18 Nov 2020 22:54:22 GMT	137101	54709	14257
Thu, 19 Nov 2020 01:09:01 GMT	43402	8424	4945
Thu, 19 Nov 2020 01:22:17 GMT	368916	138114	73461
Thu, 19 Nov 2020 03:15:11 GMT	63755	19415	14351
Thu, 19 Nov 2020 03:20:34 GMT	45889	14372	2991
Thu, 19 Nov 2020 04:06:32 GMT	77497	26286	4736
Thu, 19 Nov 2020 05:27:04 GMT	230604	51416	22860
Thu, 19 Nov 2020 05:41:14 GMT	187000	54460	21014
Thu, 19 Nov 2020 12:17:07 GMT	94943	16326	3707
Thu, 19 Nov 2020 12:19:53 GMT	121643	24138	6159
Thu, 19 Nov 2020 12:30:21 GMT	146447	38000	17556
